site,sp,dbh
BVPlot,Sloanea guianensis,78.5
BVPlot,Sloanea guianensis,66
BVPlot,Socratea exorrhiza,16.1
BVPlot,Socratea exorrhiza,16.1
BVPlot,Socratea exorrhiza,13
BVPlot,Socratea exorrhiza,11.7
BVPlot,Socratea exorrhiza,11
BVPlot,Socratea exorrhiza,15.5
BVPlot,Socratea exorrhiza,20.2
BVPlot,Socratea exorrhiza,15.8
BVPlot,Socratea exorrhiza,12
BVPlot,Socratea exorrhiza,13.2
BVPlot,Socratea exorrhiza,18.8
BVPlot,Socratea exorrhiza,13.5
BVPlot,Socratea exorrhiza,14.5
BVPlot,Socratea exorrhiza,20
BVPlot,Sorocea pileata,23.7
BVPlot,Sorocea pileata,17.6
BVPlot,Sorocea pileata,19.9
BVPlot,Sorocea pileata,15.2
BVPlot,Sorocea pileata,20.6
BVPlot,Sorocea pileata,25.3
BVPlot,Sorocea pileata,14.2
BVPlot,Sorocea pileata,18.3
BVPlot,Sorocea pileata,17.5
BVPlot,Sorocea pileata,33.5
BVPlot,Sorocea pileata,22.6
BVPlot,Sorocea pileata,21.9
BVPlot,Sorocea pileata,19.2
BVPlot,Sorocea pileata,25
BVPlot,Sorocea pileata,38.7
BVPlot,Sorocea pileata,32.6
BVPlot,Sorocea pileata,16.1
BVPlot,Sorocea pileata,18
BVPlot,Spondias venosa,101.2
BVPlot,Spondias venosa,73.7
BVPlot,Quararibea wittii,15
BVPlot,Sterculia tessmannii,15.5
BVPlot,Sterculia tessmannii,10.1
BVPlot,Sterculia tessmannii,11.5
BVPlot,Swartzia jorori,17.1
BVPlot,Swartzia jorori,14
BVPlot,Swartzia myrtifolia,15
BVPlot,Swartzia sp.1,22.2
BVPlot,Tabebuia serratifolia,13.3
BVPlot,Terminalia amazonia,92
BVPlot,Terminalia amazonia,81.3
BVPlot,Terminalia amazonia,59.6
BVPlot,Terminalia amazonia,47.8
BVPlot,Terminalia oblonga,13
BVPlot,Theobroma cacao,15
BVPlot,Theobroma cacao,20
BVPlot,Theobroma cacao,10.5
BVPlot,Theobroma cacao,16.5
BVPlot,Trichilia adolfi,21.7
BVPlot,Trichilia adolfi,24.7
BVPlot,Trichilia adolfi,35.9
BVPlot,Trichilia adolfi,35.5
BVPlot,Trichilia adolfi,13.7
BVPlot,Trichilia adolfi,12
BVPlot,Trichilia inaequilatera,10.5
BVPlot,Trichilia pleeana,24.5
BVPlot,Trichilia pleeana,11
BVPlot,Trichilia pleeana,18.5
BVPlot,Trichilia pleeana,20
BVPlot,Trichilia pleeana,26.8
BVPlot,Trichilia pleeana,16
BVPlot,Trichilia pleeana,17.2
BVPlot,Trichilia pleeana,15
BVPlot,Trichilia pleeana,23.5
BVPlot,Triplaris americana,11.7
BVPlot,Triplaris americana,15.5
BVPlot,Triplaris poeppigiana,10.5
BVPlot,Triplaris poeppigiana,13.3
BVPlot,Triplaris poeppigiana,15.6
BVPlot,Triplaris poeppigiana,12.5
BVPlot,Unonopsis floribunda,14.5
BVPlot,Unonopsis floribunda,17
BVPlot,Unonopsis floribunda,18
BVPlot,Unonopsis floribunda,11
BVPlot,Unonopsis floribunda,16.1
BVPlot,Unonopsis floribunda,10.3
BVPlot,Unonopsis floribunda,18.5
BVPlot,Unonopsis floribunda,17.5
BVPlot,Unonopsis floribunda,13.3
BVPlot,Unonopsis floribunda,13.8
BVPlot,Unonopsis floribunda,17.8
BVPlot,Unonopsis floribunda,18.3
BVPlot,Unonopsis floribunda,17.4
BVPlot,Unonopsis floribunda,15
BVPlot,Unonopsis floribunda,11
BVPlot,Unonopsis floribunda,13.5
BVPlot,Virola peruviana,11.3
BVPlot,Virola sebifera,38.9
BVPlot,Virola sebifera,45.1
BVPlot,Virola sebifera,45.1
BVPlot,Virola sebifera,27.1
BVPlot,Xylopia cuspidata,28.8
BVPlot,Xylopia ligustrifolia,13.5
BVPlot,Xylopia sp.1,13.5
BVPlot,Xylopia sp.1,16
BVPlot,Xylopia sp.2,18.2
BVPlot,Zanthoxylum sp.1,36
BVPlot,Zanthoxylum sp.1,11.3
BVPlot,Zanthoxylum sp.1,16
BVPlot,gen_indet. sp.1,12.2
BVPlot,Acacia sp.1,22.3
BVPlot,Agonandra sp.1,28
BVPlot,Andira inermis,13.1
BVPlot,Apeiba membranacea,25.4
BVPlot,Astrocaryum murumuru,17.1
BVPlot,Astrocaryum murumuru,16.1
BVPlot,Astrocaryum murumuru,17.5
BVPlot,Astrocaryum murumuru,12.8
BVPlot,Astrocaryum murumuru,16.8
BVPlot,Astrocaryum murumuru,16
BVPlot,Astrocaryum murumuru,13.7
