site,sp,dbh
1,Welfia regia,16.4
1,Pentaclethra macroloba,34.4
1,Socratea exorrhiza,10.8
1,Lonchocarpus oliganthus,12.3
1,Pentaclethra macroloba,44.2
1,Socratea exorrhiza,13.8
1,Stryphnodendron microstachyum,56.3
1,Annona montana,6.2
1,Guatteria diospyroides,9.1
1,Pourouma bicolor,35.2
1,Socratea exorrhiza,14
1,Socratea exorrhiza,13.3
1,Vismia macrophylla,19
1,Rinorea deflexiflora,8.1
1,Anaxagorea crassipetala,8.1
1,Anaxagorea crassipetala,6
1,Protium costaricense,7.1
1,Socratea exorrhiza,8.3
1,Guarea macropetala,16.8
1,Socratea exorrhiza,6.9
1,Socratea exorrhiza,10.2
1,Virola sebifera,6
1,Protium pittieri,28.9
1,Swartzia simplex,6.6
1,Quararibea bracteolosa,5.6
1,Socratea exorrhiza,15.2
1,Inga acuminata,15.9
1,Virola sebifera,7.5
1,Guarea bullata,9.4
1,Cryosophila warscewiczii,7.3
1,Socratea exorrhiza,14.9
1,Cordia dwyeri,12.2
1,Casearia arborea,12.2
1,Pentaclethra macroloba,53
1,Welfia regia,14.4
1,Protium pittieri,27.8
1,Ardisia fimbrillifera,9.6
1,Iriartea deltoidea,15.7
1,Marila laxiflora,7.7
1,Protium costaricense,5.2
1,Protium panamense,22.7
1,Welfia regia,15.2
1,Pentaclethra macroloba,19.2
1,Couepia polyandra,42.8
1,Protium costaricense,7.9
1,Capparis pittieri,5.3
1,Vochysia ferruginea,7.7
1,Quararibea bracteolosa,11.9
1,Rinorea deflexiflora,8.9
1,Euterpe precatoria,11.1
1,Swartzia simplex,6.6
1,Garcinia intermedia,10
1,Socratea exorrhiza,13.1
1,Inga densiflora,25
1,Welfia regia,16.7
1,Perebea angustifolia,8.7
1,Socratea exorrhiza,5.5
1,Anaxagorea crassipetala,7.1
1,Capparis pittieri,8
1,Socratea exorrhiza,17.9
1,Pentaclethra macroloba,56.8
1,Dystovomita paniculata,8.3
1,Dystovomita paniculata,15.3
1,Iriartea deltoidea,14.2
1,Dystovomita paniculata,10.3
1,Dystovomita paniculata,25
1,Dystovomita paniculata,12.8
1,Vismia macrophylla,14.4
1,Virola sebifera,7.9
1,Vismia macrophylla,12.5
1,Xylopia sericophylla ,11.1
1,Inga thibaudiana,15.6
1,Richeria dressleri,10
1,Guares guidonia,24.8
1,Pentaclethra macroloba,9.4
1,Maquira costaricana,5.9
1,Pourouma minor,7.7
1,Pouteria torta,7.9
1,Guarea bullata,21.4
1,Brosimum lactescens,19.5
1,Pentaclethra macroloba,37.9
1,Minquartia guianensis,31.7
1,Perebea angustifolia,6.3
1,Eschweilera longirachis,7.1
1,Cordia bicolor,6.1
1,Anaxagorea crassipetala,6.3
1,Theobroma simiarum,10.6
1,Anaxagorea crassipetala,5.8
1,Welfia regia,19.4
1,Dystovomita paniculata,10
1,Capparis pittieri,8.7
1,Naucleopsis naga,7.2
1,Pentaclethra macroloba,37.9
1,Perebea angustifolia,6.7
1,Perebea angustifolia,6.4
1,Socratea exorrhiza,9.3
1,Pentaclethra macroloba,11.9
1,Anaxagorea crassipetala,7.4
1,Welfia regia,13.6
1,Borojoa panamensis,16.5
1,Ampelocera macrocarpa,5.7
1,Pentaclethra macroloba,34.3
1,Euterpe precatoria,10.2
1,Carapa nicaraguensis,15.2
1,Ficus popenoei,87.7
1,Drypetes  standleyi,15.6
1,Socratea exorrhiza,14.2
1,Cryosophila warscewiczii,7
1,Cryosophila warscewiczii,7.4
1,Cryosophila warscewiczii,5.9
1,Dendropanax arboreus,23.5
1,Perebea angustifolia,5.8
1,Perebea angustifolia,6.4
1,Anaxagorea crassipetala,8.2
1,Guarea bullata,6.2
1,Pentaclethra macroloba,47.7
1,Welfia regia,14
1,Socratea exorrhiza,12.6
1,Apeiba membranacea,14.4
1,Virola sebifera,5.5
1,Cordia bicolor,8.9
1,Lozania pittieri,7.9
1,Minquartia guianensis,14
1,Welfia regia,21
1,Socratea exorrhiza,8.3
1,Carapa nicaraguensis,9.2
1,Socratea exorrhiza,15
1,Psychotria panamensis,8.2
1,Virola sebifera,10.6
1,Pouteria reticulata,6.8
1,Parathesis trichogyne,9.6
1,Pentaclethra macroloba,39.6
1,Eschweilera longirachis,6.7
1,Welfia regia,11.6
1,Pentaclethra macroloba,59.2
1,Virola sebifera,15.6
1,Euterpe precatoria,12.6
1,Inga densiflora,17.4
1,Iriartea deltoidea,14
1,Protium costaricense,7.9
1,Lacunaria panamensis,14.7
1,Laetia procera,60.2
1,Naucleopsis naga,9.9
1,Hippotis albiflora,11.2
1,Pentaclethra macroloba,48.6
1,Guarea guidonia,24.9
1,Swartzia simplex,6.6
1,Virola sebifera,28.1
1,Lozania pittieri,7.1
1,Pentaclethra macroloba,15.8
1,Pouteria glomerata,14.9
1,Richeria dressleri,12.4
1,Perebea angustifolia,7.8
