sp,wsg
Acalypha diversifolia,0.501
Adelia triloba,0.648
Alchornea costaricensi,0.393
Alibertia edulis,0.788
Alseis blackiana,0.578
Andira inermis,0.683
Annona acuminata,0.645
Apeiba membranacea,0.321
Aspidosperma spruceanum,0.77
Astronium graveolens,0.808
Beilschmiedi pendula,0.528
Brosimum alicastrum,0.672
Calophyllum longifolium,0.541
Capparis frondosa,0.633
Casearia aculeata,0.69
Casearia arborea,0.562
Casearia sylvestris,0.662
Cassipourea elliptica,0.66
Cecropia insignis,0.551
Celtis schippii,0.579
Cestrum megalophyllu,0.424
Chrysochlamy eclipes,0.507
Chrysophyllu argenteum,0.736
Coccoloba manzinellens,0.716
Cordia alliodora,0.455
Cordia bicolor,0.373
Coussarea curvigemmia,0.622
Croton billbergianu,0.478
Cupania seemannii,0.665
Dendropanax arboreus,0.411
Desmopsis panamensis,0.536
Drypetes standleyi,0.618
Erythrina costaricensi,0.5
Erythroxylum macrophyllum,0.643
Erythroxylum panamense,0.703
Eugenia coloradoensi,0.693
Eugenia galalonensis,0.636
Eugenia nesiotica,0.732
Eugenia oerstediana,0.656
Faramea occidentalis,0.609
Ficus tonduzii,0.357
Garcinia intermedia,0.654
Garcinia madruno,0.649
Guapira standleyana,0.511
Guarea bullata,0.668
Guarea guidonia,0.56
Guatteria dumetorum,0.446
Guazuma ulmifolia,0.495
Guettarda foliacea,0.618
Gustavia superba,0.612
Hasseltia floribunda,0.565
Heisteria concinna,0.719
Herrania purpurea,0.308
Hieronyma alchorneoide,0.585
Hirtella triandra,0.606
Hybanthus prunifolius,0.58
Inga acuminata,0.321
Inga goldmanii,0.557
Inga marginata,0.486
Inga nobilis,0.645
Inga sapindoides,0.612
Inga umbellifera,0.665
Jacaranda copaia,0.374
Lacistema aggregatum,0.558
Lacmellea panamensis,0.502
Laetia thamnia,0.727
Licania hypoleuca,0.836
Licania platypus,0.682
Lindackeria laurina,0.693
Lonchocarpus heptaphyllus,0.666
Luehea seemannii,0.572
Maquira guianensis,0.643
Miconia affinis,0.57
Miconia argentea,0.697
Mosannona garwoodii,0.73
Mouriri myrtilloides,0.788
Nectandra cissiflora,0.421
Ocotea cernua,0.61
Ocotea puberula,0.389
Ocotea whitei,0.426
Ouratea lucens,0.802
Palicourea guianensis,0.32
Pentagonia macrophylla,0.454
Perebea xanthochyma,0.623
Picramnia latifolia,0.699
Platymiscium pinnatum,0.761
Platypodium elegans,0.703
Poulsenia armata,0.315
Pouteria reticulata,0.761
Prioria copaifera,0.391
Protium costaricense,0.452
Protium panamense,0.447
Protium tenuifolium,0.586
Pterocarpus rohrii,0.496
Quararibea asterolepis,0.468
Quassia amara,0.527
Randia armata,0.643
Rinorea sylvatica,0.673
Simarouba amara,0.39
Siparuna pauciflora,0.458
Sloanea terniflora,0.815
Sorocea affinis,0.646
Spondias radlkoferi,0.363
Stylogyne turbacensis,0.569
Swartzia simplex_var.,0.773
Swartzia simplex_var.,0.784
Symphonia globulifera,0.545
Tabebuia guayacan,0.79
Tabebuia rosea,0.489
Tabernaemont arborea,0.538
Tachigali versicolor,0.582
Talisia nervosa,0.663
Talisia princeps,0.725
Terminalia oblonga,0.634
Tetragastris panamensis,0.589
Trattinnicki aspera,0.439
Trichilia pallida,0.573
Trichilia tuberculata,0.692
Triplaris cumingiana,0.529
Trophis caucana,0.475
Trophis racemosa,0.631
Turpinia occidentalis,0.407
Unonopsis pittieri,0.428
Virola sebifera,0.487
Virola surinamensis,0.407
Xylopia macrantha,0.84
Zanthoxylum acuminatum,0.579
Zanthoxylum ekmanii,0.435
Zanthoxylum panamense,0.552
